Amount,is_foreign,new_device,Class
120.5,0,0,0
240.0,0,0,0
75.2,0,0,0
980.0,1,0,1
45.0,0,1,1
1500.0,0,0,0
3200.0,1,1,1
210.0,0,0,0
560.0,1,0,0
78.9,0,0,0
4200.0,1,1,1
9800.0,1,1,1
130.0,0,0,0
2600.0,0,1,1
175.0,0,0,0
890.0,1,0,0
50.0,0,1,1
6100.0,1,1,1
340.0,0,0,0
2200.0,1,0,1
95.0,0,0,0
1450.0,0,0,0
2750.0,1,1,1
680.0,1,0,0
410.0,0,0,0
75.0,0,1,1
5300.0,1,1,1
180.0,0,0,0
2400.0,0,1,1
390.0,1,0,0
60.0,0,0,0
7100.0,1,1,1
1250.0,0,0,0
3300.0,1,0,1
115.0,0,0,0
480.0,0,0,0
9050.0,1,1,1
290.0,0,0,0
1600.0,1,0,0
85.0,0,1,1
4500.0,1,0,1
610.0,0,0,0
2450.0,1,1,1
155.0,0,0,0
70.0,0,0,0
3800.0,1,1,1
990.0,0,0,0
220.0,0,0,0
275.0,0,1,0
7500.0,1,1,1
140.0,0,0,0
1850.0,0,0,0
3600.0,1,0,1
95.0,0,0,0
640.0,1,0,0
5200.0,1,1,1
205.0,0,0,0
2480.0,0,1,1
310.0,0,0,0
8800.0,1,1,1
1300.0,0,0,0
270.0,1,0,0
4100.0,1,1,1
55.0,0,1,1
1900.0,0,0,0
7300.0,1,1,1
225.0,0,0,0
150.0,0,0,0
2950.0,1,1,1
860.0,0,0,0
440.0,1,0,0
520.0,0,0,0
6200.0,1,1,1
105.0,0,1,1
1750.0,0,0,0
3450.0,1,0,1
260.0,0,0,0
9400.0,1,1,1
670.0,1,0,0
80.0,0,0,0
2550.0,0,1,1
3700.0,1,1,1
190.0,0,0,0
