timestamp,amount,transaction_hour,is_foreign,velocity_1h,new_device,account_age_days,avg_amount_last_30d,merchant_category,geo_distance,isFraud
86400,68.5,0,1,19.0,0,,1.0,discover,87.0,0
86401,29.0,0,1,,0,,1.0,mastercard,87.0,0
86469,59.0,0,1,287.0,0,,1.0,visa,87.0,0
86499,50.0,0,1,,0,,2.0,mastercard,87.0,0
86506,50.0,0,1,,0,,1.0,mastercard,87.0,0
86510,49.0,0,1,36.0,0,,1.0,visa,87.0,0
86522,159.0,0,1,0.0,0,,1.0,visa,87.0,0
86529,422.5,0,1,,0,,1.0,visa,87.0,0
86535,15.0,0,1,,0,,1.0,visa,87.0,0
86536,117.0,0,1,19.0,0,,2.0,mastercard,87.0,0
86549,75.887,0,0,,0,,1.0,mastercard,,0
86555,16.495,0,0,,0,30.0,1.0,mastercard,,0
86564,50.0,0,1,,0,,4.0,visa,87.0,0
86585,40.0,0,1,,0,,6.0,visa,87.0,0
86596,10.5,0,1,,0,,1.0,visa,87.0,0
86618,57.95,0,1,3.0,0,,4.0,visa,87.0,0
86620,30.0,0,1,,0,,1.0,visa,87.0,0
86668,100.0,0,1,,0,,1.0,mastercard,87.0,0
86725,47.95,0,1,5.0,0,,1.0,visa,87.0,0
86730,186.0,0,1,,0,,2.0,visa,87.0,0
86761,39.0,0,1,0.0,0,,1.0,mastercard,87.0,0
86769,159.95,0,1,,0,,127.0,mastercard,87.0,0
86786,50.0,0,1,,0,,1.0,visa,87.0,0
86808,107.95,0,1,4.0,0,,1.0,mastercard,87.0,0
86821,73.95,0,1,,0,,3.0,visa,87.0,0
86944,107.95,0,1,,0,,4.0,mastercard,87.0,0
86945,184.0,0,1,,0,,2.0,visa,87.0,0
86972,47.95,0,1,17.0,0,,4.0,visa,87.0,0
86973,20.0,0,1,,0,,1.0,mastercard,87.0,0
86979,36.99,0,1,,0,,1.0,visa,87.0,0
86994,35.0,0,1,,0,,3.0,visa,87.0,0
86998,363.89,0,1,13.0,0,,1.0,visa,87.0,0
87008,200.0,0,1,,0,,4.0,visa,87.0,0
87078,40.0,0,1,,0,,2.0,mastercard,87.0,0
87135,107.95,0,1,2.0,0,,1.0,visa,87.0,0
87140,107.95,0,1,664.0,0,,3.0,visa,87.0,0
87149,77.0,0,1,20.0,0,,8.0,visa,87.0,0
87161,21.95,0,1,,0,,92.0,visa,87.0,0
87172,25.0,0,1,,0,98.0,1.0,american express,87.0,0
87202,39.95,0,1,,0,,1.0,visa,87.0,0
87209,75.887,0,0,,0,,2.0,visa,,0
87220,774.0,0,1,0.0,0,,2.0,visa,87.0,0
87233,117.0,0,1,6.0,0,,2.0,visa,87.0,0
87248,49.0,0,1,0.0,0,,2.0,visa,87.0,0
87266,39.5,0,1,,0,,1.0,visa,87.0,0
87275,36.95,0,1,0.0,0,,190.0,visa,87.0,0
87285,49.0,0,1,30.0,0,,1.0,visa,87.0,0
87285,15.0,0,1,,0,,1.0,visa,87.0,0
87317,42.294,0,0,,0,,1.0,visa,,0
87317,3.595,0,0,,0,149.0,1.0,mastercard,,0
87319,117.0,0,1,16.0,0,,1.0,visa,87.0,0
87328,226.0,0,1,80.0,0,,4.0,visa,87.0,0
87333,117.0,0,1,5.0,0,,8.0,mastercard,87.0,0
87349,130.95,0,1,7.0,0,,5.0,mastercard,87.0,0
87401,34.0,0,1,,0,,1.0,visa,87.0,0
87413,210.95,0,1,,0,,1.0,visa,87.0,0
87440,500.0,0,1,,0,,1.0,visa,87.0,0
87445,50.0,0,1,,0,,1.0,visa,87.0,0
87532,380.21,0,1,,0,,1.0,visa,87.0,0
87557,35.95,0,1,154.0,0,,12.0,visa,87.0,0
87581,2454.0,0,1,,0,,1.0,mastercard,87.0,0
87596,58.95,0,1,16.0,0,,1.0,visa,87.0,0
87601,200.0,0,1,7.0,0,,1.0,mastercard,87.0,0
87604,80.0,0,1,,0,,3.0,visa,87.0,0
87611,250.0,0,1,,0,,6.0,visa,87.0,0
87650,114.95,0,1,1.0,0,,1.0,visa,87.0,0
87660,300.0,0,1,,0,,1.0,visa,87.0,0
87664,445.0,0,1,24.0,0,,2.0,visa,87.0,0
87667,3.081,0,0,,0,,2.0,visa,,0
87725,20.0,0,1,,0,84.0,7.0,visa,87.0,0
87735,100.0,0,1,,0,,1.0,visa,87.0,0
87736,59.0,0,1,,0,,1.0,visa,87.0,0
87752,6.767,0,0,,0,,1.0,mastercard,,0
87759,554.0,0,1,5.0,0,,1.0,visa,87.0,0
87775,27.793,0,0,,0,100.0,1.0,visa,,0
87779,68.5,0,1,,0,,8.0,visa,87.0,0
87787,36.95,0,1,1.0,0,,1.0,mastercard,87.0,0
87793,280.0,0,1,,0,,6.0,visa,87.0,0
87825,300.0,0,1,2239.0,0,,2.0,visa,87.0,0
87839,28.699,0,0,,0,,1.0,mastercard,,0
87856,60.0,0,1,,0,,2.0,visa,87.0,0
87868,104.95,0,1,1.0,0,,4.0,visa,87.0,0
87899,280.0,0,1,,0,,2.0,mastercard,87.0,0
87924,411.95,0,1,22.0,0,,1.0,mastercard,87.0,0
87928,125.674,0,0,,0,744.0,1.0,visa,,0
87935,42.596,0,0,,0,,1.0,visa,,0
